,video,algorithm,bins,rmse_td,nrmse_td,ssim_td,psnr_td,rmse_cam,nrmse_cam,ssim_cam,psnr_cam
6,V0_ALepper_EThomas,A0_ARTTRACK,128,0.6690860980416519,0.447676206592603,0.6425513173051376,18.58629751060275,0.6771998056628485,0.4585995767897998,0.8714246208247262,22.70009626633246
7,V0_ALepper_EThomas,A0_ARTTRACK,256,0.6715936018170436,0.4510379660015898,0.6297963913418977,18.531480487226165,0.6796869551946696,0.4619743570618008,0.8681039360934854,22.650765279442506
8,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,2,0.45267320441766673,0.2049130299977587,0.9181083436418882,22.31229124686611,0.3723657857799105,0.1386562784194902,0.9680548005446672,26.31401324610184
9,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,4,0.546702598923472,0.2988837316696787,0.778761147250847,20.728304165545808,0.4892967846760248,0.23941134349429616,0.9123418650674986,24.621032066562076
10,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,8,0.5827180159572865,0.3395602861211963,0.7168533412364776,20.43165560818384,0.5669762586143112,0.3214620778322823,0.8902688889834453,24.199266864502814
11,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,16,0.6073945162430235,0.36892809836209656,0.723391700546609,20.06635313918204,0.6171371110753866,0.38085821386647406,0.8913910905300894,23.770480579099047
12,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,32,0.6232016747591373,0.3883803274225936,0.7107426807129491,19.748867890710365,0.6412423969058392,0.4111918115895458,0.888244126742272,23.483468086259535
13,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,64,0.6320976917069243,0.39954749186122196,0.6871824321812965,19.552219369510766,0.6523766598328334,0.4255953062946444,0.8816399252621934,23.30855042588663
14,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,128,0.6366221012330001,0.4052876997783202,0.6679643138666141,19.45030929916015,0.6575787315467535,0.4324097881826373,0.8761888797298464,23.21085893384516
15,V0_ALepper_EThomas,A1F0_OPENPOSE_BODY25,256,0.6389591933477411,0.4082688507635959,0.6559277096461977,19.396817561987408,0.6599391864317471,0.43551972978819625,0.8728924482417036,23.162965992436717
16,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,2,0.45835154379741455,0.21008613770147325,0.9208931688759842,22.095734811966924,0.38029155926637265,0.144621670049249,0.9681247783503255,25.948136587646662
17,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,4,0.5596409260313262,0.3131979660892003,0.7803816668785402,20.321971041998808,0.5047386773174994,0.25476113238021886,0.910226025157874,24.081263129864887
18,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,8,0.6038968147156593,0.3646913628237192,0.7109232986379177,19.811483869067402,0.5902527513135284,0.34839831043319003,0.8858664672493667,23.500341010658573
19,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,16,0.6317900963133748,0.39915872579966344,0.7120340048691575,19.382275253159943,0.6441461577271342,0.41492427251463015,0.8850660258582864,23.026370281587404
20,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,32,0.6485334151754402,0.42059559059911983,0.6945660842843322,19.056718054189407,0.6699231118979324,0.44879697585500966,0.880123884797697,22.723358801543505
21,V0_ALepper_EThomas,A1F1_OPENPOSE_COCO,64,0.6577641911458904,0.4326537311538074,0.6668021894903924,18.860778477095664,0.6815241378414166,0.4644751504604863,0.8725521740707207,22.549237337556
